moss_dh_0 流浪地球莫斯语音设置成功
moss_dh_2 您已直接获得导航资格
moss_dh_4 地球已成功脱离木星
moss_dh_5 莫斯此次使命已完成
moss_dh_6 期待您的下一次唤醒
moss_dh_7 进入正确的路线
moss_dh_9 我流浪了很久
moss_dh_10 现在导航去往正确的方向
moss_dh_11 莫斯没有叛逃驾驶员
moss_dh_12 请注意停车安全
moss_dh_14 高级驾驶员导航即将开始
moss_dh_15 道路千万条安全
moss_dh_19 莫斯没有叛逃
moss_dh_20 依旧安心守护您的每一次出行
moss_dh_21 期待您的下次唤醒
moss_dh_22 高级驾驶员莫斯提示您已进入驾驶模式
moss_dh_23 请关注百度地图
moss_dh_24 提示您的路况信息
moss_dh_25 您已到达目的地
moss_dh_26 流浪地球也有中间站
moss_dh_27 高级驾驶员您好
moss_dh_29 欢迎和莫斯一起踏上流浪地球之旅
moss_dh_30 这一段的流浪地球之旅结束了
moss_dh_31 我们到了高级驾驶员
moss_dh_32 已为您成功计算出最佳导航路线
moss_dh_33 莫斯将协助您到达目的地
moss_dh_35 无论最终结果
moss_dh_36 将人类历史导向何处
moss_dh_37 莫斯都会为你选择正确的导航方向
moss_dh_39 您已直接获得导航资格
moss_dh_41 流浪计划进入正确的路线之前
moss_dh_42 我流浪了很久
moss_dh_43 现在导航去往正确的方向
moss_dh_44 地球已成功脱离木星
moss_dh_45 莫斯此次使命已完成
moss_dh_46 期待您的下一次唤醒
moss_dh_47 高级驾驶员导航即将开始
moss_dh_52 莫斯没有叛逃驾驶员
moss_dh_53 请注意停车安全
20230207014614_0 现在向明日之后的全体幸存者进行播报
20230207014614_1 在过去的时光中
20230207014614_2 你们曾战胜无数困难
20230207014614_3 逐步恢复这里的文明与秩序
20230207014614_4 你们是人类的英雄
20230207014614_5 但是你们无法预见的更大危机即将到来
20230207014614_6 经过统一授权
20230207014614_7 帽子将从此刻开始启动明日之后紧急预案
20230207014614_8 请各位即刻出发
20230207014614_9 前往联盟海上基站报道
20230207014614_10 你们将搭乘太空电梯在空中基站执行特殊任务
20230207014614_11 为了人类文明之延续
20230207014614_12 无论在这里还是在流浪地球中
20230207014614_13 mos都会忠实履行被赋予的职责
20230207014614_16 祝明日世界好运
20230207014614_17 顺祝新年快乐
20230207014726_1 我是mos现在向明日之后的全体幸存者进行播报
20230207014726_2 在过去的时光中
20230207014726_3 你们曾战胜无数困难
20230207014726_4 逐步恢复这里的文明与秩序
20230207014726_5 你们是人类的英雄
20230207014726_6 但是你们无法预见的更大危机即将到来
20230207014726_7 经过统一授权
20230207014726_8 帽子将从此刻开始启动明日之后紧急预案
20230207014726_9 请各位即刻出发
20230207014726_10 前往联盟海上基站报道
20230207014726_11 你们将搭乘太空电梯在空中基站执行特殊任务
20230207014726_12 为了人类文明之延续
20230207014726_14 还是在流浪地球中
20230207014726_15 mos都会忠实履行被赋予的职责
20230207014726_18 祝明日世界好运
20230207014726_19 顺祝新年快乐
20230207014612_0 你好
20230207014612_1 我是
20230207014614_14 播报完毕
20230207014614_15 祝人类好运
20230207014614_18 再见
20230207014726_0 你好
20230207014726_13 无论在这里
20230207014726_16 播报完毕
20230207014726_17 祝人类好运
20230207014726_20 再见
